,open,high,low,close,volume,pct_chg,ret
2007-01-04,0.0,0.0,0.0,102.916,0.0,0.02429756,0.0002429756
2007-01-05,0.0,0.0,0.0,102.907,0.0,-0.008745,-8.745e-05
2007-01-08,0.0,0.0,0.0,102.915,0.0,0.00777401,7.774009999999999e-05
2007-01-09,0.0,0.0,0.0,102.957,0.0,0.04081038,0.0004081038
2007-01-10,0.0,0.0,0.0,102.953,0.0,-0.00388512,-3.88512e-05
2007-01-11,0.0,0.0,0.0,102.996,0.0,0.04176663,0.0004176663
2007-01-12,0.0,0.0,0.0,103.009,0.0,0.01262185,0.0001262185
2007-01-15,0.0,0.0,0.0,103.041,0.0,0.03106525,0.0003106525
2007-01-16,0.0,0.0,0.0,103.061,0.0,0.01940975,0.0001940975
2007-01-17,0.0,0.0,0.0,103.055,0.0,-0.00582179,-5.8217900000000004e-05
2007-01-18,0.0,0.0,0.0,103.059,0.0,0.00388142,3.88142e-05
2007-01-19,0.0,0.0,0.0,103.057,0.0,-0.00194064,-1.94064e-05
2007-01-22,0.0,0.0,0.0,103.086,0.0,0.02813977,0.00028139770000000004
2007-01-23,0.0,0.0,0.0,103.091,0.0,0.00485032,4.85032e-05
2007-01-24,0.0,0.0,0.0,103.104,0.0,0.01261022,0.0001261022
2007-01-25,0.0,0.0,0.0,103.085,0.0,-0.018428,-0.00018428
2007-01-26,0.0,0.0,0.0,103.118,0.0,0.03201242,0.0003201242
2007-01-29,0.0,0.0,0.0,103.121,0.0,0.00290929,2.90929e-05
2007-01-30,0.0,0.0,0.0,103.131,0.0,0.00969735,9.69735e-05
2007-01-31,0.0,0.0,0.0,103.134,0.0,0.00290892,2.9089200000000003e-05
2007-02-01,0.0,0.0,0.0,103.159,0.0,0.02424031,0.0002424031
2007-02-02,0.0,0.0,0.0,103.167,0.0,0.00775502,7.75502e-05
2007-02-05,0.0,0.0,0.0,103.179,0.0,0.01163163,0.00011631630000000001
2007-02-06,0.0,0.0,0.0,103.196,0.0,0.01647622,0.0001647622
2007-02-07,0.0,0.0,0.0,103.198,0.0,0.00193806,1.93806e-05
2007-02-08,0.0,0.0,0.0,103.181,0.0,-0.01647319,-0.00016473189999999997
2007-02-09,0.0,0.0,0.0,103.182,0.0,0.00096917,9.6917e-06
