S_INFO_WINDCODE,ETF_CLASS_NAME,FUND_NAME,FUND_FULLNAME,FUND_MANAGER,S_INFO_INDEXWINDCODE,ENTRY_DT,REMOVE_DT
563630.SH,股票型ETF,A500增强ETF国联安,国联安中证A500增强策略交易型开放式指数证券投资基金,国联安基金,000510.SH,20250619,
563630.SH,规模指数ETF,A500增强ETF国联安,国联安中证A500增强策略交易型开放式指数证券投资基金,国联安基金,000510.SH,20250619,
159265.SZ,跨境主题指数ETF,港股消费50ETF,鹏华国证港股通消费主题交易型开放式指数证券投资基金,鹏华基金,987024.CNI,20250618,
159265.SZ,跨境ETF,港股消费50ETF,鹏华国证港股通消费主题交易型开放式指数证券投资基金,鹏华基金,987024.CNI,20250618,
520980.SH,跨境行业指数ETF,港股通科技30ETF,汇添富恒生港股通中国科技交易型开放式指数证券投资基金,汇添富基金,HSSCT.HI,20250618,
520980.SH,跨境ETF,港股通科技30ETF,汇添富恒生港股通中国科技交易型开放式指数证券投资基金,汇添富基金,HSSCT.HI,20250618,
561090.SH,规模指数ETF,中证A500增强ETF,华安中证A500增强策略交易型开放式指数证券投资基金,华安基金,000510.SH,20250618,
561090.SH,股票型ETF,中证A500增强ETF,华安中证A500增强策略交易型开放式指数证券投资基金,华安基金,000510.SH,20250618,
159365.SZ,跨境主题指数ETF,恒指ETF,富国恒指港股通交易型开放式指数证券投资基金,富国基金,HSISC.HI,20250618,
159365.SZ,跨境ETF,恒指ETF,富国恒指港股通交易型开放式指数证券投资基金,富国基金,HSISC.HI,20250618,
159203.SZ,风格指数ETF,大盘成长ETF,博时国证大盘成长交易型开放式指数证券投资基金,博时基金,399372.SZ,20250618,
159203.SZ,股票型ETF,大盘成长ETF,博时国证大盘成长交易型开放式指数证券投资基金,博时基金,399372.SZ,20250618,
561770.SH,规模指数ETF,中证A100指数ETF,博时中证A100交易型开放式指数证券投资基金,博时基金,000903.SH,20250616,
561770.SH,股票型ETF,中证A100指数ETF,博时中证A100交易型开放式指数证券投资基金,博时基金,000903.SH,20250616,
562050.SH,主题指数ETF,药ETF,华宝中证制药交易型开放式指数证券投资基金,华宝基金,932217.CSI,20250611,
562050.SH,股票型ETF,药ETF,华宝中证制药交易型开放式指数证券投资基金,华宝基金,932217.CSI,20250611,
159245.SZ,跨境ETF,港股通消费ETF,富国国证港股通消费主题交易型开放式指数证券投资基金,富国基金,987024.CNI,20250611,
159245.SZ,跨境主题指数ETF,港股通消费ETF,富国国证港股通消费主题交易型开放式指数证券投资基金,富国基金,987024.CNI,20250611,
159228.SZ,股票型ETF,红利低波ETF长城,长城中证红利低波动100交易型开放式指数证券投资基金,长城基金,930955.CSI,20250605,
159228.SZ,策略指数ETF,红利低波ETF长城,长城中证红利低波动100交易型开放式指数证券投资基金,长城基金,930955.CSI,20250605,
588670.SH,规模指数ETF,科创综指增强ETF,嘉实上证科创板综合增强策略交易型开放式指数证券投资基金,嘉实基金,000680.SH,20250605,
588670.SH,股票型ETF,科创综指增强ETF,嘉实上证科创板综合增强策略交易型开放式指数证券投资基金,嘉实基金,000680.SH,20250605,
589180.SH,主题指数ETF,科创新材料ETF汇添富,汇添富上证科创板新材料交易型开放式指数证券投资基金,汇添富基金,000689.SH,20250605,
589180.SH,股票型ETF,科创新材料ETF汇添富,汇添富上证科创板新材料交易型开放式指数证券投资基金,汇添富基金,000689.SH,20250605,
588270.SH,规模指数ETF,科创200ETF易方达,易方达上证科创板200交易型开放式指数证券投资基金,易方达基金,000699.SH,20250605,
588270.SH,股票型ETF,科创200ETF易方达,易方达上证科创板200交易型开放式指数证券投资基金,易方达基金,000699.SH,20250605,
159240.SZ,规模指数ETF,中证A500增强ETF天弘,天弘中证A500增强策略交易型开放式指数证券投资基金,天弘基金,000510.SH,20250605,
159240.SZ,股票型ETF,中证A500增强ETF天弘,天弘中证A500增强策略交易型开放式指数证券投资基金,天弘基金,000510.SH,20250605,
512130.SH,策略指数ETF,全指现金流ETF鹏华,鹏华中证全指自由现金流交易型开放式指数证券投资基金,鹏华基金,932365.CSI,20250605,
512130.SH,股票型ETF,全指现金流ETF鹏华,鹏华中证全指自由现金流交易型开放式指数证券投资基金,鹏华基金,932365.CSI,20250605,
159205.SZ,规模指数ETF,创业板ETF东财,西藏东财创业板交易型开放式指数证券投资基金,东财基金,399006.SZ,20250604,
159205.SZ,股票型ETF,创业板ETF东财,西藏东财创业板交易型开放式指数证券投资基金,东财基金,399006.SZ,20250604,
