date,ivix
2016-03-18,31.1629
2016-03-21,31.5606
2016-03-22,33.1125
2016-03-23,34.0404
2016-03-24,32.9049
2016-03-25,30.9842
2016-03-28,31.0957
2016-03-29,31.2112
2016-03-30,30.8728
2016-03-31,30.9589
2016-04-01,30.4957
2016-04-05,30.1875
2016-04-06,29.9619
2016-04-07,28.8004
2016-04-08,27.6604
2016-04-11,27.6271
2016-04-12,26.6528
2016-04-13,26.4958
2016-04-14,26.0574
2016-04-15,26.0488
2016-04-18,26.194
2016-04-19,25.4861
2016-04-20,25.618
2016-04-21,25.053
2016-04-22,24.5153
2016-04-25,25.1649
2016-04-26,25.5286
2016-04-27,25.4694
2016-04-28,24.4013
2016-04-29,23.5798
2016-05-03,23.4131
2016-05-04,22.864
2016-05-05,22.5297
2016-05-06,23.4901
2016-05-09,26.1118
2016-05-10,24.8869
2016-05-11,23.4724
2016-05-12,23.4546
2016-05-13,22.7878
2016-05-16,22.4988
2016-05-17,22.026
2016-05-18,22.1293
2016-05-19,21.4203
2016-05-20,20.5421
2016-05-23,19.8213
2016-05-24,19.6363
2016-05-25,20.2828
2016-05-26,18.8977
2016-05-27,18.3706
2016-05-30,18.5749
2016-05-31,21.5131
2016-06-01,20.8555
2016-06-02,20.6862
2016-06-03,20.7885
2016-06-06,20.8756
2016-06-07,20.6707
2016-06-08,21.0099
2016-06-13,23.0635
2016-06-14,21.879
2016-06-15,19.702
2016-06-16,19.3382
2016-06-17,18.492
2016-06-20,19.3271
2016-06-21,19.2386
2016-06-22,19.8438
2016-06-23,20.343
2016-06-24,20.7115
2016-06-27,20.4254
2016-06-28,19.6695
2016-06-29,19.2344
2016-06-30,18.578
2016-07-01,18.2145
2016-07-04,18.2731
2016-07-05,18.6359
2016-07-06,18.6521
2016-07-07,19.3006
2016-07-08,19.2953
2016-07-11,18.9971
2016-07-12,18.9053
2016-07-13,19.6865
2016-07-14,19.4933
2016-07-15,19.5505
2016-07-18,20.314
2016-07-19,20.4041
2016-07-20,20.2225
2016-07-21,20.2729
2016-07-22,20.0042
2016-07-25,19.8713
2016-07-26,19.4558
2016-07-27,20.3223
2016-07-28,18.8861
2016-07-29,18.7509
2016-08-01,18.763
2016-08-02,18.2883
2016-08-03,17.8353
2016-08-04,17.4533
2016-08-05,17.1125
2016-08-08,17.0112
2016-08-09,16.6417
2016-08-10,16.6516
2016-08-11,16.801
2016-08-12,17.691
2016-08-15,20.1911
2016-08-16,19.3581
2016-08-17,19.3437
2016-08-18,19.4756
2016-08-19,19.4476
2016-08-22,19.7288
2016-08-23,19.4184
2016-08-24,19.4684
2016-08-25,19.7053
2016-08-26,19.5985
2016-08-29,20.1185
